country,gender,school_type,math_score,reading_score,science_score,education_father,education_mother,education_parents,family_structure,immigration_status
133212,Germany,Male,Middle school,508.8098,385.7173,456.4901,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
133213,Germany,Female,Middle school,538.4094,561.6606,493.6964,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Second-Generation
133214,Germany,Male,Middle school,588.4172,538.7284,519.9925,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133216,Germany,Female,Middle school,475.7828,483.8977,504.6065,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133217,Germany,Male,Middle school,618.5621,607.2948,645.9717,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133218,Germany,Female,Middle school,668.5699,629.2564,611.7493,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
133221,Germany,Female,Middle school,557.6492,545.7744,583.495,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133222,Germany,Male,Middle school,469.8629,399.2702,396.7176,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
133227,Germany,Male,Middle school,471.4208,360.0551,396.8109,None,None,None,Single father/mother,Second-Generation
133238,Germany,Male,Integrated school,310.2586,253.3964,265.7963,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133242,Germany,Female,Middle school,426.0087,435.3653,411.9172,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133246,Germany,Male,Special school,375.222,366.4706,399.7949,ISCED 5B,ISCED 5B,ISCED 5B,Other,Native
133247,Germany,Female,Special school,407.1584,417.1756,410.0522,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
133252,Germany,Male,Special school,424.2951,416.1912,466.0015,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133253,Germany,Male,Special school,506.8624,457.8924,525.6807,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
133255,Germany,Female,Special school,382.2324,371.8999,406.3223,None,ISCED 2,ISCED 2,Both parents,Native
133257,Germany,Male,Middle school,529.1401,457.8924,566.9899,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133260,Germany,Male,Middle school,565.5943,526.2983,601.2122,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",Both parents,Native
133261,Germany,Male,Middle school,506.2393,489.89,548.9929,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133262,Germany,Female,Middle school,480.76800000000003,519.5622,489.0339,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133263,Germany,Female,Middle school,399.9143,397.9533,371.727,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133265,Germany,Female,Middle school,412.2994,491.2848,475.3264,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133266,Germany,Male,Integrated school,409.8847,366.3904,430.2872,ISCED 2,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
